#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],bfai,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/bfai/bfai.cab,Batch chatbot and free-roaming AI.,bfai.cab,3d8bfd9d6695551f858215f2475e23ae,dosbos,tools,05/12/2018 06:13 AM,bfai,9164
[#],bfib,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/devtools/bfib/bfib.cab,An interpreter for the Brainfuck programming language.,bfib.cab,2faa91a2f8d55cdba837f4f702e0329d,YoYoYonnY,devtools,21/01/2020 09:11 PM,bfib,12775
[#],bgi,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/bgi/bgi.bat,Borland Graphics Interface library for Windows Batch files,bgi.bat,73acb2f059d14c1791739fb150123eec,Aacini,library,26/01/2019 03:53 PM,bgi;draw,27122
[#],bigtext,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/bigtext/bigtext.bat,Display big text without altering fonts.,bigtext.bat,3f78947ec193a3ee7038fd98fff35362,Aacini,library,26/01/2019 03:52 PM,font;enlarge;large,4125
[#],bigtext2,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/bigtext2/bigtext2.bat,Display a given sentence in large text made up of smaller characters.,bigtext2.bat,e1b6352adb890dd818a33c0f7797730b,wasatchwizard,graphics,26/01/2019 03:52 PM,font,21990
[#],bin2enc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/bin2enc/bin2enc.bat,Generates .CAB or self-extracting batch script from a source file or folder.,bin2enc.bat,c8e30bad6c6128d72df7f30f48f72bea,CirothUngol,utilities,26/01/2019 03:51 PM,archive;compress,5503
[#],bitencrypt,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/bitencrypt/bitencrypt.bat,Interactive Bitlocker encryption script.,bitencrypt.bat,a2c9fe6e1425a8cf9c18fae4a6576f2a,b00st3d,utilities,24/01/2019 09:11 PM,bitencrypt,8384
[#],boilerplate,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/boilerplate/boilerplate.cab,Generates Windows scripts based on templates.,boilerplate.cab,c19a00cca6138f27a56bac557c6141b8,Jahwi,tools,14/02/2019 04:46 PM,boilerplate,5958
[#],bpoker,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/bpoker/bpoker.cab,Poker game made in Batch.,bpoker.cab,72e44ac3087d5765a85c50753e47b7bd,JohnBatch,game,26/01/2019 05:20 PM,bet;gamble,6626
[#],breakout,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/breakout/breakout.bat,Brickbreaker-type game.,breakout.bat,770edcefc7ff51e0966dee9e7144d662,Icarus,game,26/01/2019 04:27 PM,block,4279
