#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],gstr,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/gstr/gstr.bat,Batch native random string genarator.,gstr.bat,9c1bbf11653df3d8414b36d803e731eb,JaCk,tools,24/01/2019 09:19 PM,gstr,12622
[#],hangman,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/hangman/hangman.cab,Hangman game in batch.,hangman.cab,1345d33930b90fafa18a92d685750d66,EliasBachaalany,game,19/12/2018 02:54 PM,hangman,3933
[#],hashsum,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/hashsum/hashsum.bat,Print or check file hashes using common hash algorithms.,hashsum.bat,365540ad46f3914295b9363f20dffde6,DaveBenham,library,03/11/2019 08:24 PM,hashsum,12041
[#],hexprint,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/hexprint/hexprint.bat,Displays ascii characters in specified code pages.,hexprint.bat,ebbafe1e905f9107a9b55dc47756352f,Icarus,example,03/08/2019 04:51 PM,hexprint,494
[#],hideinput,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/hideinput/hideinput.bat,Hide input in asterisks.,hideinput.bat,be0e07228c4d90d6fe552a3ea1202f4f,Carlos,example,26/01/2019 04:31 PM,password;mask,1283
[#],howkad,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/howkad/howkad.bat,Adventure game in batch,howkad.bat,b55b5d709d8f49d0a72c0d440de2eae9,howk,game,26/01/2019 04:29 PM,rpg,36052
[#],htw,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/htw/htw.bat,Hunt The Wumpus- batch version.,htw.bat,54240ea7beb70b6ef5a2766953231e9d,DaveBenham,game,26/01/2019 04:29 PM,port,15232
[#],ibackup,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/ibackup/ibackup.bat,Backs up files.,ibackup.bat,0c3eedf2b21fdfe95234f0f100f092ee,Hackoo,utilities,25/03/2019 03:11 AM,ibackup,2749
[#],intobatch,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/intobatch/intobatch.bat,Convert any program into a script you can put in your batch script.,intobatch.bat,081c176c238eff7d75db7327a6cd8e48,Lucas,utilities,26/01/2019 04:28 PM,wrapper;wrap;container,4058
[#],irrescue,https://codeload.github.com/diogo-fernan/ir-rescue/zip/master,Collect a myriad of forensic data from 32-bit and 64-bit Windows systems,irrescue.zip,External-File-No-Hash-Available,diogo-fernan,security,Nil,irrescue,Nil
[#],j,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/devtools/j/j.bat,Facilitates batch-file automation of actions in Java.,j.bat,f2050f05f226c41602befa77093c8332,Siberia-Man,devtools,19/06/2019 10:16 AM,j,7701
[#],jren,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/jren/jren.bat,Tool for carrying out advanced renaming operations.,jren.bat,f1d0dc01507d9fceb0add41930fb5533,DaveBenham,utilities,26/01/2019 04:54 PM,rename;renamer,41881
[#],jrepl,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/jrepl/jrepl.bat,Perform a global regular expression search and replace operation on each line of ASCII input from stdin and prints the result to stdout.,jrepl.bat,15d3621dfedf0439710f1cbfa9df5f6e,DaveBenham,library,03/11/2019 08:26 PM,jrepl,118954
[#],jsort,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/jsort/jsort.bat,Sort lines of text from stdin and write the result to stdout.,jsort.bat,d18460df7f8765968b3e9728370267d5,DaveBenham,library,03/11/2019 08:31 PM,jsort,7233
[#],jtimestamp,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/jtimestamp/jtimestamp.bat,Computes and displays a formatted timestamp.,jtimestamp.bat,9573d47f270b3afcc8cae18a2c303c7f,DaveBenham,library,24/01/2019 09:21 PM,jtimestamp,47028
[#],jump,https://codeload.github.com/bget-forks/jump/zip/master,Easily jump around the file system by manually adding marks.,jump.zip,External-File-No-Hash-Available,fredericseiler,tools,Nil,jump,Nil
[#],jvcsort,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/jvcsort/jvcsort.bat,Copy/move files created within a certain time range on the same day.,jvcsort.bat,e725324d865ff0cdc1d983b0a360e22d,Jahwi,example,26/01/2019 04:55 PM,paste;move,1214
[#],kart,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/kart/kart.bat,Add "Kill all non-responsive tasks" button to the context menu.,kart.bat,73e1d6bb5d17fd5e7bab7b7dfe5bfcf5,FreeBooter,utilities,12/02/2019 06:38 PM,kart,2345
[#],legend,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/legend/legend.bat,Legend game in in batch.,legend.bat,ed0529a4b6be24b9023a7c0da835dbb4,RCAProduction,game,26/01/2019 04:56 PM,rpg,47818
[#],lessjs,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/devtools/lessjs/lessjs.cab,A way to run the LESS.js compiler on Windows.,lessjs.cab,2eb136ca5fdd2ce09403ec2bb6be9ef7,duncansmart,devtools,28/08/2019 01:32 AM,lessjs,320412
[#],libs,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/libs/libs.cab,Pseudocompiles batch files by linking custom macros and functions to them.,libs.cab,218f774d9bf1224dc8dad8248241fecc,Siberia-man,library,26/02/2019 08:54 PM,libs,5835
[#],lovekyoko,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/lovekyoko/lovekyoko.bat,Help Kyoko defend her lab in this cute rogue-like.,lovekyoko.bat,d3c3bc2197f372571542ded0a943b522,LowSun,game,27/03/2020 07:58 PM,lovekyoko,20464
[#],luhntest,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/luhntest/luhntest.bat,Performs a Luhn test [checks if a credit card number is valid according to the luhn test],luhntest.bat,35d2eab1ddda2b66de72e76e5ea5d8c6,RosettaCode,tools,18/08/2019 11:53 PM,luhntest,898
[#],mapeditor,https://codeload.github.com/Honguito98/map-editor-batch/zip/master,Map Editor is a tool for maps in ANSI Art for videogames programed in batch files using the SETA engine.,mapedit.zip,External-File-No-Hash-Available,Honguito98,graphics,Nil,mapeditor,Nil
[#],mastermind,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/mastermind/mastermind.bat,Batch Mastermind implementation.,mastermind.bat,76c1cc03422928a11c401f32ab0ec0e7,DaveBenham,game,26/01/2019 04:53 PM,guess,3054
[#],math,https://raw.githubusercontent.com/IcarusLivesHF/Batch-Functions/master/MathMacros.BAT,Macro of special math functions such as PI; SIN; COS; ABS; as well as basic geometry.,math.bat,External-File-No-Hash-Available,Icarus,library,Nil,math,Nil
[#],mathlib,https://codeload.github.com/Oatworm/MathLibrary.cmd/zip/master,A collection of math subroutines written in Windows batch script. Includes floating point and large number support.,mathlib.zip,External-File-No-Hash-Available,Oatworm,library,Nil,mathlib,Nil
[#],mathmacro,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/mathmacro/mathmacro.bat,A full-feature math macro.,mathmacro.bat,c2a1d3b8c92b3af672898af8da14c9a8,CirothUngol,library,26/01/2019 04:51 PM,number;figure,30864
[#],mazegame,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/mazegame/mazegame.cab,Move through the mazes in this batch example.,mazegame.cab,17b74555ff0dc3c644d1dfeeaab859f5,Sounak,game,05/12/2018 06:16 AM,mazegame,8209
[#],mazegen,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/mazegen/mazegen.bat,A stack-less iterative depth-first maze generator in native WinNT batch.,mazegen.bat,441c54f164e2af2f92e848b6eb8336f0,RosettaCode,library,18/08/2019 11:46 PM,mazegen,4102
[#],menu,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/menu/menu.bat,Batch-Jscript hybrid menu.,menu.bat,341be506b31cab60a0af3b0fec5151e7,Aacini,example,24/01/2019 09:23 PM,menu,1354
[#],minesweeper,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/minesweeper/minesweeper.bat,Minesweeper in batch.,minesweeper.bat,8a564243ec1a0074f6064b7868e2aed8,WhiteLight,game,14/10/2019 09:45 PM,minesweeper,7183
[#],minworld,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/minworld/minworld.cab,Mine your way to glory.,minworld.cab,6d6c790c7e7ec0c1e58af553e4dbb88a,SirJosh3917,game,26/01/2019 05:22 PM,miner,60891
[#],miscscripts,https://codeload.github.com/M-Depoorter/Batch/zip/master,Miscellaneous collection of batch files.,miscbat.zip,External-File-No-Hash-Available,M-Depoorter,tools,Nil,miscscripts,Nil
[#],monopoly,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/monopoly/monopoly.bat,Monopoly in batch.,monopoly.bat,485a7afc325eb8b9cb75b0f4c494d18f,GrellesLicht28,game,26/01/2019 04:49 PM,money;cash,172597
[#],mothersday,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/mothersday/mothersday.cab,Simulate being a mother 3 days till mothers day.,mothersday.cab,c6aee7df5a0304c4f239d867e8a82f5d,SirJosh3917,game,06/12/2018 04:58 AM,mothersday,10204
[#],netcalc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/netcalc/netcalc.cab,Calculates network addresses.,netcalc.cab,1ad6330054c8948a62144c7439b85afb,Siberia-man,tools,28/02/2019 04:13 PM,netcalc,7266
[#],netdisplay,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/netdisplay/netdisplay.bat,This script generates an html file showing a view of the active hosts in the local subnet.,netdisplay.bat,726e3513dbaa342374862bd18834de0a,Annikk,example,16/10/2019 03:00 AM,network,136600
[#],nolock,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/nolock/nolock.bat,Enable or disable lock screen in windows 10.,nolock.bat,703fafd0f72ad962bbf96203418641f1,freebooter,utilities,21/01/2020 09:58 PM,nolock,1225
[#],numerudico,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/numerudico/numerudico.bat,Number-themed sums game.,numerudico.bat,da44b769cabe9f029a19d4e92f87e05a,LowSun,game,04/01/2020 12:21 AM,number;numbers;123,3396
[#],numinfo,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/numinfo/numinfo.bat,Shows the properties of a number e.g. its binary; hexadecimal equivalents as well as bitwise operations.,numinfo.bat,16f41148ee7f3c1e56c5f861040da879,Icarus,example,29/09/2019 02:03 AM,number;info,2322
[#],nvmw,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/devtools/nvmw/nvmw.cab,Simple Node Version Manager for Windows.,nvmw.cab,c089f296ece8535848deb8dc44ec7d52,hakobera,devtools,11/08/2019 12:56 PM,nvmw,6293
[#],particles,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/particles/particles.bat,POC on using macros to generate particles.,particles.bat,fa494890816e55e8ada9ba83239c73f9,Icarus,example,26/01/2019 04:48 PM,graphics;graphic,1303
[#],particles2,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/particles2/particles2.bat,Another POC on using macros to generate particles.,particles2.bat,1531a81da196468606c61914289a642b,LowSun,example,22/09/2019 03:51 PM,graphics;graphic,1736
[#],passgen,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/passgen/passgen.bat,Generates passwords that meet a given criteria.,passgen.bat,be38819f1b50a778f195d391b269c642,ShadowThief,utilities,24/01/2019 09:26 PM,passgen,10787
[#],pc2pc,https://codeload.github.com/Xavious/PC-2-PC-File-Transfer/zip/master,Windows batch script to transfer files from one Windows domain PC to another.,pc2pc.zip,External-File-No-Hash-Available,Xavious,utilities,Nil,pc2pc,Nil
[#],pdftojpg,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/pdftojpg/pdftojpg.bat,Convert PDFs to JPGs.,pdftojpg.bat,943e6d2a22b8f42642431d32fc80084a,Annikk,utilities,24/01/2019 09:26 PM,pdftojpg,7514
[#],pin2start,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/pin2start/pin2start.bat,Add 'Pin to start menu' to the context menu.,pin2start.bat,116f998bec99a5bf32dea9815d0412d7,FreeBooter,utilities,02/07/2019 11:11 PM,pin2start,1918
[#],pingsweep,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/pingsweep/pingsweep.bat,Ping sweep the local network.,pingsweep.bat,9979091583e33f667da5aaaf84911cd0,b00st3d,utilities,25/08/2019 06:54 PM,subnet,2374
[#],pokegame,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/pokegame/pokegame.bat,Simple pokemon-themed text rpg in batch.,pokegame.bat,50670468ceb53811f2505acde38fa627,Coder-San,game,24/01/2019 09:27 PM,pokegame,15064
[#],polygon,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/polygon/polygon.bat,Polygon-drawing function.,polygon.bat,681f22a581ad153ea6eaab59fbc4b663,Icarus,library,24/01/2019 09:27 PM,polygon,3190
[#],portable,https://codeload.github.com/MarioMasta64/EverythingPortable/zip/master,Contains batch launchers for portable versions of various programs.,everything-portable.zip,External-File-No-Hash-Available,MarioMasta64,tools,Nil,portable,Nil
[#],portal,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/portal/portal.bat,Batch implementation of the Valve game of the same name.,portal.bat,98049a1912424c920cec91f09cde33ce,RetroKitty,game,24/01/2019 09:27 PM,portal,15298
[#],primegen,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/primegen/primegen.bat,Using loops to generate primes.,primegen.bat,98913716fb52135cd752bfbd6e990b9c,Icarus,example,26/01/2019 04:43 PM,number,315
[#],printhere,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/printhere/printhere.bat,Provides functionality similar to the unix here doc feature.,printhere.bat,13395efbf4ad3e998680534c00fc362d,DaveBenham,library,24/01/2019 09:29 PM,printhere,6291
[#],printscreen,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/printscreen/printscreen.bat,Printscreen script. Requires .NET Framework.,printscreen.bat,97d1970c4b085dcedb5f1aa544b17da8,DelmarGrande/Hackoo,tools,26/01/2019 04:42 PM,screenshot;screencap;screencapture,1386
[#],priority,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/priority/priority.bat,[Win 10] Add 'Run with priority' to the context menu of .exe files to change the process priority of applications for processor resources in Windows 10.,priority.bat,6a73e74ae86e53adf06ba971bf40213e,FreeBooter,utilities,10/08/2019 10:54 PM,priority,3035
[#],ps-servnow,https://codeload.github.com/Sam-Martin/servicenow-powershell/zip/master,This PowerShell module provides a series of cmdlets for interacting with the ServiceNow REST API,ps-servicenow.zip,External-File-No-Hash-Available,Sam-Martin,library,Nil,ps-servnow,Nil
[#],psim,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/psim/psim.bat,plant simulator game. grow some weeds.,psim.bat,9f6549391541375526fe54cd1b0efed9,howk,game,24/01/2019 09:29 PM,psim,66876
[#],psubst,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/psubst/psubst.cab,Persistently associates a path with a drive letter.,psubst.cab,019411cfc0002cd3bdf3ffc7a3733c7f,SIberia-man,library,28/02/2019 03:50 PM,psubst,7824
[#],pubip,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/pubip/pubip.vbs,[VBS] Outputs public IP and other IP details.,pubip.vbs,1a4144810d2df05793c6318f8187f416,Hackoo,tools,26/01/2019 05:08 PM,location;geolocation;find,15606
[#],rayc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/rayc/rayc.bat,Raycast implementation in pure batch,rayc.bat,3288ba6f21306781d057abeb7eb5b9af,Einstein1969,library,26/01/2019 04:41 PM,graphics;graphic;3d,17953
[#],reactinit,https://codeload.github.com/mlang251/ReactInit/zip/master,A batch script for initializing React projects on Windows,reactinit.zip,External-File-No-Hash-Available,mlang251,devtools,Nil,reactinit,Nil
[#],regutils,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/regutils/regutils.cab,collection of miscellaneous registry tweaks.,regutils.cab,1cdf2ed1020b80d224f234cff3549993,FreeBooter,utilities,28/11/2018 07:10 AM,regutils,1891052
[#],rempty,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/rempty/rempty.bat,Removes Empty Files/SubDirectories from the defaulted/given path/paths.,rempty.bat,74c96284a28b5f06f4c5d016dbb85885,JaCk,tools,24/01/2019 09:30 PM,rempty,11528
[#],repairwmi,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/repairwmi/repairwmi.bat,Helps repair WMI issues.,repairwmi.bat,b0ef14e2e51c1d810a56c01cb30f91e0,FreeBooter,utilities,24/06/2019 04:47 PM,repairwmi,1182
[#],resetnet,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/resetnet/resetnet.cab,Reset your network stack entirely without rebooting.,resetnet.cab,3c17b82a46605cef0461e5a4cd7a5f9c,dannyvoid,utilities,15/02/2019 09:13 PM,resetnet,1320
[#],rforline,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/rforline/rforline.bat,Mask keyboard input with specified characters such as the asterisk.,rforline.bat,ab05cdd1dc72cb52e952323d6eba9af8,Aacini,library,26/01/2019 04:40 PM,mask,7375
[#],rgbsafe,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/rgbsafe/rgbsafe.hta,Displays the HEX codes of various colours.,rgbsafe.hta,7b43463796a03330db1c2b8d019198c3,Siberia-man,tools,28/02/2019 04:16 PM,rgbsafe,5438
[#],rmtelemetry,https://codeload.github.com/bget-forks/Remove-MS-Telemetry-and-Annoyances/zip/master,Disables Microsoft telemetry services.,rmtelemetry.zip,External-File-No-Hash-Available,DeltoidDelta,utilities,Nil,rmtelemetry,Nil
[#],rtfc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/rtfc/rtfc.bat,Monitors a file and outputs changed lines to the console.,rtfc.bat,cb7d3eade1421e0939a9804f2e588651,Jahwi,tools,26/01/2019 04:39 PM,compare;filecompare;comparefile;comparefiles,1359
[#],sbt,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/sbt/sbt.cab,Super Batch Tetris.,sbt.cab,38316ee5995c6f841f98705bb21f3f47,RetroKitty,game,06/12/2018 04:49 AM,sbt,4202
[#],sdelete,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/sdelete/sdelete.bat,Adds a secure delete option to context menu.,sdelete.bat,910ce67d71ac6596a8ccae244926252f,FreeBooter,utilities,25/06/2019 11:19 AM,sdelete,326962
[#],sendmail,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/sendmail/sendmail.vbs,[VBS] Send an email using VBScript.,sendmail.vbs,a0481c776ea93706cf467a44931f96c5,dmarietta,example,20/12/2018 07:57 PM,sendmail,1268
[#],setaengine,https://codeload.github.com/Honguito98/Seta-Engine-for-Batch-games/zip/master,A collection of several game engines for batch scripting.,seta.zip,External-File-No-Hash-Available,Honguito98,graphics,Nil,setaengine,Nil
[#],setcmd,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/setcmd/setcmd.cab,.bashrc emulation in batch; providing a file from which custom global variables can be set.,setcmd.cab,2dcd1706fd83525edcc6e439677eacb3,Siberia-man,library,26/02/2019 08:58 PM,setcmd,4093
[#],shootem,https://codeload.github.com/Honguito98/batch-game-shoot-em/zip/master,Shoot-em in batch.,shem.zip,External-File-No-Hash-Available,Honguito98,game,Nil,shootem,Nil
[#],slice,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/slice/slice.bat,Print lines of a text file within a specific range.,slice.bat,cd7223521e0943ea2e6615c96c4cf8ca,Einstein1969,library,26/01/2019 04:37 PM,separate;split;divide,866
[#],sll,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/sll/sll.cab,An esoteric programming language with a maximum of 4 characters per instruction.,sll.cab,9795a9da863edb9e19680679455ec0cc,LogicBomb,tools,26/01/2019 05:22 PM,stack;stacked,3995
[#],slots,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/slots/slots.bat,test your luck in this clickable slots machine game.[Win10 Only],slots.bat,8277befa25a5bf5ec46456cf588d7e3c,Icarus,game,26/01/2019 04:34 PM,gamble;bet,13422
[#],softap,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/softap/softap.bat,Create a soft wireless access point.  You should have a wired and wireless connection to provide internet.,softap.bat,ee24c6bb9f7fc2467f1f2995f63886ea,b00st3d,utilities,26/01/2019 04:53 PM,network;hotspot,10203
[#],som,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/som/som.bat,Medieval-themed game.,som.bat,9aaee7faad16a8d67404dafcf7c6769e,Ranger77,game,26/01/2019 04:53 PM,rpg,58712
[#],sortalgo,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/sortalgo/sortalgo.bat,Various sorting algorithms.,sortalgo.bat,d339a3944d64b427e6f25b68e9812cbf,Icarus,library,24/01/2019 09:37 PM,sortalgo,1620
[#],soullapse,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/soullapse/soullapse.cab,Defeat The Corruption in this tactical batch JRPG.,soullapse.cab,aae89f2830f6e2e14e8f0622d7b954a0,LowSun,game,25/11/2019 12:03 AM,soullapse,14489310
[#],spgen,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/spgen/spgen.bat,Game movement engine.,spgen.bat,101560a6eb40e7b379eb646ee750d577,Icarus,library,26/01/2019 04:57 PM,graphics,15212
[#],sslmail,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/sslmail/sslmail.bat,Batch-PS hybrid to send SSL-encrypted emails.,sslmail.bat,6826c493f0cd80a9fc0826d78a0ec71f,Hackoo,tools,14/03/2019 02:11 AM,sslmail,5737
[#],stresstest,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/stresstest/stresstest.bat,CPU Stress Tester.,stresstest.bat,2b772ee77b8ea7464f00857700051d0d,b00st3d,utilities,26/01/2019 04:57 PM,processor;performance,4150
[#],strfunct,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/strfunct/strfunct.bat,Library of string manipulation functions.,strfunct.bat,a271431a80961f2cec0b3df80742517a,Icarus,library,24/01/2019 09:40 PM,strfunct,2025
[#],survivor,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/survivor/survivor.cab,Survivor is a game that simulates you being in a survival situation without all the fancy graphics.,survivor.cab,054688bccb4d9f8864068466a579ad43,Jack123,game,26/01/2019 05:23 PM,rpg,13153
[#],svcreset,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/svcreset/svcreset.bat,Restore Windows services to their default settings,svcreset.bat,9d342d028f3dadcfd380a18c32458725,FreeBooter,utilities,19/07/2019 09:49 PM,svcreset,35893
[#],swc,https://codeload.github.com/hXR16F/SWC/zip/master,SWC - Serveo Website Crawler. A tool that searches for websites that use serveo.,swc.zip,External-File-No-Hash-Available,hXR16F,tools,Nil,swc,Nil
[#],sysrestore,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/sysrestore/sysrestore.vbs,[VBS] Create a System Restore point in Windows 10; 8; 7; Vista and XP,sysrestore.vbs,da2b4e599de6cab3ec558b67f63f6424,RameshSrinivasan,utilities,26/01/2019 05:07 PM,savepoint,2904
[#],systools,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/systools/systools.bat,Add a system tools cascading menu to the desktop context menu. These include Control Panel; Disk Cleanup; Event Viewer and others.,systools.bat,81dbcfd2d05d9457a50f4081d1e3bbed,Freebooter,utilities,17/03/2019 12:33 PM,systools,7455
[#],systoolslib,https://codeload.github.com/JFLarvoire/SysToolsLib/zip/master,A collection of command-line tools for managing Windows and Linux systems.,systoolslib.zip,External-File-No-Hash-Available,JFLarvoire,utilities,Nil,systoolslib,Nil
[#],tetris,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/tetris/tetris.bat,Pure-batch tetris game with low flicker.,tetris.bat,878bee88cecadfa279c58d20730c8f6e,Aacini,game,24/01/2019 09:40 PM,tetris,11029
[#],textcraft,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/textcraft/textcraft.cab,Minecraft in batch.,textcraft.cab,dfaaef1fb19e7fe71981f183a851d285,FaceRadiation,game,26/01/2019 05:23 PM,port,3430039
[#],thanos,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/example/thanos/thanos.bat,Randomly deletes files in the current directory; makes them "not feel so good".,thanos.bat,f79e60b5d6c28af5f46e989958ba3832,Jahwi,example,13/03/2019 05:40 PM,thanos,640
[#],thecat,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/thecat/thecat.cab,Batch game with a relatively-deep storyline.,thecat.cab,1397dcfaf5f259fc7339002cefea476d,FaceRadiation,game,06/12/2018 04:50 AM,thecat,8921101
[#],timediff,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/timediff/timediff.bat,Calculate time difference using the command line.,timediff.bat,78941abd6b41e8fdbe6b477966596e57,Aacini,library,27/08/2019 11:43 PM,timer,831
[#],togdrivupdate,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/togdrivupdate/togdrivupdate.bat,[WIN 10] Enable/Disable driver updates in Windows 10.,togdrivupdate.bat,4a60e2a19cd2b1480f4531b0032dda81,FreeBooter,utilities,18/07/2019 07:03 PM,togdrivupdate,2755
[#],toggleadminacc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/toggleadminacc/toggleadminacc.bat,Enables the default admin account.,toggleadminacc.bat,0347fa8c7fb12765110e28714fe563a4,FreeBooter,utilities,19/07/2019 09:40 PM,toggleadminacc,2117
[#],togglerdp,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/togglerdp/togglerdp.bat,Enable remote desktop connections.,togglerdp.bat,f846712f01b4c30e129aeafd4baa3cb0,FreeBooter,utilities,19/07/2019 10:17 PM,togglerdp,2532
[#],toggleseclogon,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/toggleseclogon/toggleseclogon.bat,Enables the Ctrl-Alt-Del secure logon prompt.,toggleseclogon.bat,4c77b6b6efcb2097c0904a9b99bbc603,FreeBooter,utilities,19/07/2019 09:39 PM,toggleseclogon,2440
[#],togsafemode,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/togsafemode/togsafemode.bat,[WIN 10] Enable or Disable F8 Advanced Boot Options in Windows 10,togsafemode.bat,25926c1606e06dde67733278b1fdeb3c,FreeBooter,utilities,04/01/2020 12:17 AM,togsafemode,877
[#],togupdate,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/togupdate/togupdate.bat,Enable or disable Windows update.,togupdate.bat,8bf21d8ce0c7fe57050a8bb61ced2235,Freebooter,utilities,24/01/2019 09:40 PM,togupdate,1152
[#],toh,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/toh/toh.bat,Towers of Hanoi in batch.,toh.bat,fe1a8d1a575ecae6bb85eae40f3560c6,FaceRadiation,game,24/01/2019 09:40 PM,toh,20768
